Order ID,Order Date,Order Time,Month,Month No,Quarter,Year,Day of Week,Week No,Customer ID,Customer Name,Customer Email,Customer Phone,Customer Age,Customer Gender,Customer Segment,Loyalty Tier,Account Age (Days),Shipping Country,Shipping State,Shipping City,Pincode,Product ID,Product Name,Brand,Main Category,Sub Category,SKU,Product Rating (Avg),Units Ordered,Unit Price (₹),Discount %,Coupon Code,Gross Amount (₹),Discount Amount (₹),Net Revenue (₹),COGS (₹),Gross Profit (₹),Profit Margin %,Shipping Method,Shipping Cost (₹),Warehouse Location,Estimated Delivery Days,Actual Delivery Days,On-Time Delivery,Delivery Status,Return Requested,Return Reason,Refund Amount (₹),Payment Method,Payment Status,EMI Months,Platform,Traffic Source,Campaign Name,Device Type,App/Web,Order Satisfaction,Review Score,Review Text Sentiment,Repeat Customer,Customer Lifetime Orders,Month_Year
EC-2023-06-000010,2023-06-09,18:08:11,June,6,Q2,2023,Friday,23,C13199,Vivek Chatterjee,vivek.chatterjee22@gmail.com,+91 8853954860,32,Male,Regular,Bronze,990,India,Gujarat,Rajkot,360001,P002,iPhone 15 Pro 256GB,Apple,Electronics,Smartphones,APL-IPH15P-256,4.8,1,134900,0,NONE,134900,0,134900,67450,67450,50.0,Same Day,0,Mumbai WH,1,1,Yes,Delivered,Yes,Changed Mind,128155,Credit Card,Paid,0,Company Website,Organic Search,SEO-Organic,Desktop,Web,4.2,5,Neutral,No,14,2023-06
EC-2024-10-000017,2024-10-15,14:07:44,October,10,Q4,2024,Tuesday,42,C18058,Vijay Chatterjee,vijay.chatterjee58@gmail.com,+91 8017903268,60,Female,Regular,Bronze,451,India,Gujarat,Rajkot,360001,P003,Samsung Galaxy S24,Samsung,Electronics,Smartphones,SAM-S24-256,4.6,5,79999,25,SUPER25,399995,99999,299996,152998,146998,49.0,Free Shipping,0,Mumbai WH,8,8,Yes,Delivered,No,,0,UPI,Paid,0,Amazon,Influencer,Influencer-Collab,Desktop,Web,4.6,4,Positive,No,16,2024-10
EC-2023-05-000021,2023-05-08,11:28:32,May,5,Q2,2023,Monday,19,C24134,Pooja Saxena,pooja.saxena14@gmail.com,+91 7650354943,28,Male,New Customer,Silver,1381,India,Uttar Pradesh,Agra,282001,P011,"LG OLED 65""",LG,Electronics,Televisions,LG-OLED65-C3,4.8,3,249990,0,NONE,749970,0,749970,404984,344986,46.0,Standard (5-7 days),0,Hyderabad WH,7,7,Yes,Delivered,No,,0,Wallet,Paid,0,Company Website,App Notification,Push-Flash-Sale,Mobile,App,1.9,2,Positive,No,3,2023-05
EC-2023-10-000026,2023-10-27,21:27:37,October,10,Q4,2023,Friday,43,C19344,Nikhil Trivedi,nikhil.trivedi63@yahoo.com,+91 9958800215,36,Female,New Customer,Silver,218,India,Kerala,Thiruvananthapuram,695001,P007,Dell XPS 15 i7,Dell,Electronics,Laptops,DEL-XPS15-I7,4.6,2,135000,0,NONE,270000,0,270000,140400,129600,48.0,Standard (5-7 days),0,Hyderabad WH,5,7,No,Delivered,No,,0,Debit Card,Pending,0,Flipkart,Direct,Direct-Visit,Mobile,App,4.6,4,Neutral,Yes,11,2023-10
EC-2024-06-000028,2024-06-01,11:14:56,June,6,Q2,2024,Saturday,22,C34117,Meera Pandey,meera.pandey22@gmail.com,+91 7963896632,58,Male,Premium,Gold,39,India,Punjab,Ludhiana,141001,P009,Lenovo IdeaPad Slim 5,Lenovo,Electronics,Laptops,LEN-IPS5-16,4.2,5,52990,0,NONE,264950,0,264950,132475,132475,50.0,Standard (5-7 days),0,Chennai WH,6,7,No,Out for Delivery,Yes,Changed Mind,251702,UPI,Pending,0,Meesho,Google Ads,GGL-PMax-2024,Desktop,Web,2.9,3,Positive,Yes,8,2024-06
EC-2022-07-000029,2022-07-15,11:56:00,July,7,Q3,2022,Friday,28,C59015,Siddharth Pandey,siddharth.pandey45@gmail.com,+91 9842477374,44,Male,Regular,Platinum,1442,India,Telangana,Hyderabad,500001,P001,iPhone 15 128GB,Apple,Electronics,Smartphones,APL-IPH15-128,4.7,4,79900,15,FESTIVE15,319600,47940,271660,141263,130397,48.0,Express (2-3 days),0,Delhi WH,2,2,Yes,Delivered,No,,0,Debit Card,Paid,0,Company Website,YouTube Ads,YT-Brand-Awareness,Mobile,App,1.2,1,Negative,Yes,20,2022-07
EC-2023-04-000031,2023-04-30,12:42:57,April,4,Q2,2023,Sunday,17,C47084,Rohan Dubey,rohan.dubey79@gmail.com,+91 8723319085,34,Female,Premium,Bronze,569,India,Andhra Pradesh,Vijayawada,520001,P005,Redmi Note 13 Pro,Xiaomi,Electronics,Smartphones,XMI-RN13P,4.3,5,24999,0,NONE,124995,0,124995,56248,68747,55.0,Standard (5-7 days),0,Chennai WH,7,7,Yes,Delivered,Yes,Changed Mind,118745,Net Banking,Paid,0,Flipkart,Facebook Ads,FB-Retarget-Q4,Desktop,Web,3.5,3,Positive,Yes,1,2023-04
EC-2022-02-000034,2022-02-27,15:47:45,February,2,Q1,2022,Sunday,8,C58130,Pooja Mukherjee,pooja.mukherjee49@gmail.com,+91 7237054508,27,Female,Regular,Bronze,428,India,Andhra Pradesh,Visakhapatnam,530001,P005,Redmi Note 13 Pro,Xiaomi,Electronics,Smartphones,XMI-RN13P,4.3,1,24999,0,NONE,24999,0,24999,11250,13749,55.0,Next Day,0,Chennai WH,1,1,Yes,Delivered,No,,0,Net Banking,Paid,0,Myntra,YouTube Ads,YT-Brand-Awareness,Mobile,App,3.0,3,Positive,No,24,2022-02
EC-2024-06-000035,2024-06-12,21:42:58,June,6,Q2,2024,Wednesday,24,C78700,Akash Das,akash.das49@gmail.com,+91 8119969997,50,Male,New Customer,Bronze,295,India,Kerala,Kochi,682001,P014,Samsung Tab S9+,Samsung,Electronics,Tablets,SAM-TABS9P,4.6,1,84999,0,NONE,84999,0,84999,43349,41650,49.0,Standard (5-7 days),0,Kolkata WH,5,5,Yes,Delivered,No,,0,Buy Now Pay Later,Paid,0,Flipkart,Facebook Ads,FB-Retarget-Q4,Mobile,App,1.9,2,Neutral,No,9,2024-06
EC-2022-04-000037,2022-04-06,05:05:16,April,4,Q2,2022,Wednesday,14,C48078,Uday Patel,uday.patel97@yahoo.com,+91 9276156205,34,Female,Regular,Gold,638,India,Gujarat,Rajkot,360001,P011,"LG OLED 65""",LG,Electronics,Televisions,LG-OLED65-C3,4.8,4,249990,0,NONE,999960,0,999960,539978,459982,46.0,Standard (5-7 days),0,Mumbai WH,6,6,Yes,Delivered,No,,0,Wallet,Paid,0,Amazon,YouTube Ads,YT-Brand-Awareness,Tablet,App,2.3,2,Neutral,No,8,2022-04
